Point-to-Point,,,,,loopbacks,,,,,CUST_A,,,,,,,,,
,,,,,,,,,,2.0.0.0/24,,,,,,,,,
Where,Int.,IP,Mask,,Where,Int.,IP,Mask,,Where,int ,IP,Mask,VRF ,To,int ,IP,Mask,VRF
,,,,,,,,,,,,,,,,,,,
vest-p-01,gi0,1.0.0.1,/30,,vest-p-01,lo0,1.255.0.1,/32,,vest-pe-01,G0/0/0/04,1.254.0.1,/30,CUST_A,CUST-A-02,f0/0,1.254.0.2,/30,Default
vest-p-01,gi2,1.0.0.5,/30,,vest-p-02,lo0,1.255.0.2,/32,,vest-pe-04,G0/0/0/04,1.254.1.1,/30,CUST_A,CUST-A-01,f0/0,1.254.1.2,/30,Default
vest-p-01,gi3,1.0.0.9,/30,,vest-pe-01,lo0,1.255.0.3,/32,,vest-pe-03,G0/0/0/0.1340,1.254.3.1,/30,CUST_D,CUST-D-04,f0/0,1.254.3.2,/30,Default
vest-p-01,gi5,1.0.0.13,/30,,vest-pe-02,lo0,1.255.0.4,/32,,,,,,,,,,,
vest-p-01,gi6,1.0.0.17,/30,,vest-pe-03,lo0,1.255.0.5,/32,,,,,,,,,,,
vest-p-01,gi1,1.0.0.45,/30,,vest-pe-04,lo0,1.255.0.6,/32,,,,,,,,,,,
vest-p-01,gi4,1.0.0.49,/30,,vest-pe-05,lo0,1.255.0.7,/32,,,,,,,,,,,
vest-p-02,gi0,1.0.0.2,/30,,vest-pe-06,lo0,1.255.0.8,/32,,,,,,,,,,,
vest-p-02,gi2,1.0.0.21,/30,,,,,,,,,,,,,,,,
vest-p-02,gi3,1.0.0.25,/30,,,,,,,,,,,,,,,,
vest-p-02,gi5,1.0.0.29,/30,,,,,,,,,,,,,,,,
vest-p-02,gi6,1.0.0.33,/30,,,,,,,,,,,,,,,,
vest-p-02,gi1,1.0.0.53,/30,,,,,,,,,,,,,,,,
vest-p-02,gi4,1.0.0.57,/30,,,,,,,,,,,,,,,,
vest-pe-01,gi0,1.0.0.37,/30,,,,,,,,,,,,,,,,
vest-pe-01,gi5,1.0.0.30,/30,,,,,,,,,,,,,,,,
vest-pe-01,gi6,1.0.0.18,/30,,,,,,,,,,,,,,,,
vest-pe-02,gi0,1.0.0.38,/30,,,,,,,,,,,,,,,,
vest-pe-02,gi5,1.0.0.14,/30,,,,,,,,,,,,,,,,
vest-pe-02,gi6,1.0.0.34,/30,,,,,,,,,,,,,,,,
vest-pe-03,gi0,1.0.0.41,/30,,,,,,,,,,,,,,,,
vest-pe-03,gi2,1.0.0.6,/30,,,,,,,,,,,,,,,,
vest-pe-03,gi3,1.0.0.26,/30,,,,,,,,,,,,,,,,
vest-pe-04,gi0,1.0.0.42,/30,,,,,,,,,,,,,,,,
vest-pe-04,gi2,1.0.0.22,/30,,,,,,,,,,,,,,,,
vest-pe-04,gi3,1.0.0.10,/30,,,,,,,,,,,,,,,,
vest-pe-05,gi1,1.0.0.46,/30,,,,,,,,,,,,,,,,
vest-pe-05,gi2,1.0.0.54,/30,,,,,,,,,,,,,,,,
vest-pe-06,gi1,1.0.0.50,/30,,,,,,,,,,,,,,,,
vest-pe-06,gi2,1.0.0.58,/30,,,,,,,,,,,,,,,,
